page,rubric,sub_rubric,complete_rubric,remedy,grade
1,ABRUPT,,"Mind, ABRUPT",Nat-m,1
1,ABRUPT,,"Mind, ABRUPT",tarent,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",Acon,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",act-sp,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",aesc,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",agar,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",agn,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",all-c,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",alum,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",am-c,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",am-m,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",anac,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",ang,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",Apis,3
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",arg-m,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",arn,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",ars,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",arum-t,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",asar,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",aur,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",bar-c,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",bell,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",bov,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",bufo,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",calad,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",calc-s,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",calc,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",Cann-i,3
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",cann-s,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",caps,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",carb-ac,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",carb-s,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",carl,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",Caust,3
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",cench,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",Cham,3
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",chel,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",chin,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",cic,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",clem,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",cocc,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",coff,1
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",colch,2
1,ABSENT-MINDED,,"Mind, ABSENT-MINDED",coloc,1
