rubric,complete_rubric,category,sub_category,remedy_short_name,grade,page
ABRUPT,MIND - ABRUPT,mind,main,nat-m,2,1
ABRUPT,MIND - ABRUPT,mind,main,tarent,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,acon,2,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,act-s,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,asc,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,agar,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,agn,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,all-c,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,alum,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,am-c,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,am-m,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,anac,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,ang,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,apis,2,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,arg-m,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,arn,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,ars,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,arum-t,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,asar,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,aur,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,bar-c,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,bell,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,bov,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,bufo,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,calad,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,calc,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,calc-s,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,cann-i,2,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,cann-s,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,caps,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,carl,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,cench,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,carb-ac,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,carb-s,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,caust,2,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,cham,2,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,chel,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,chin,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,cic,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,clem,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,cocc,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,coff,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,colch,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,coloc,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,con,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,croc,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,crot-h,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,cupr,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,cycl,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,daph,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,dirc,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,dulc,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,elaps,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,graph,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,guaj,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,ham,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,hell,2,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,hep,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,hura,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,hyos,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,ign,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,jug-c,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,kali-br,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,kali-c,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,kali-p,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,kali-s,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,kreos,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,lac-c,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,lach,2,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,led,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,lyc,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,lyss,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,mag-c,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,manc,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,mang,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,merc,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,mez,2,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,mosch,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,naja,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,nat-c,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,nat-m,2,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,nat-p,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,nit-ac,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,nux-m,2,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,nux-v,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,olnd,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,onos,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,op,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,petr,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,ph-ac,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,phos,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,plat,2,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,puls,2,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,rhod,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,rhus-t,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,rhus-v,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,ruta,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,sars,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,sep,2,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,sil,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,spong,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,stann,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,stram,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,sulph,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,sul-ac,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,tarent,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,thuj,1,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,verat,2,1
ABSENT-MINDED,MIND - ABSENT-MINDED,mind,main,verb,1,1
