rubric,complete_rubric,category,sub_category,remedy_short_name,grade,page
ABRUPT,"MIND - ABRUPT",mind,main,tarent,2,1
ABRUPT,"MIND - ABRUPT",mind,main,nat-m,1,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,apis,3,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,cann-i,3,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,caust,3,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,cham,3,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,hell,3,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,lach,3,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,mez,3,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,nat-m,3,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,nux-m,3,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,plat,3,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,puls,3,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,sep,3,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,verat,3,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,agn,2,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,alum,2,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,am-c,2,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,anac,2,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,arn,2,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,aur,2,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,bell,2,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,bov,2,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,bufo,2,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,caps,2,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,carl,2,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,cic,2,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,cocc,2,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,colch,2,1
ABSENT-MINDED,"MIND - ABSENT-MINDED",mind,main,cupr,2,1
